h3,lat,lon,area,CIS,CIS_adj,hidden_uplift_%,enf_days,police_station
8960145868fffff,12.995766160232185,77.53774268221085,Hoysala Nagar,2.15,3.29,53.0,1,Vijayanagara
89618924e87ffff,12.88762463263656,77.59428511900035,Delmia Circle,2.15,3.29,53.0,1,J.P. Nagar
8960145a31bffff,12.95732442206455,77.5298870027355,Agromore Layout,2.15,3.29,53.0,1,Byatarayanapura
8961892e27bffff,13.024111289680057,77.69535117269488,Anandapura,2.15,3.29,53.0,1,K.R. Pura
8961892ebafffff,13.003019505323492,77.60946853147155,Pottery Town,2.15,3.29,53.0,1,R.T. Nagar
8960145364bffff,12.854590290797047,77.56786562257395,Eden Blossoms Apartments,2.15,3.29,53.0,1,Thalagattapura
8961892c583ffff,13.01566984995545,77.66267326671941,Vijaya Bank Colony,2.15,3.29,53.0,1,Banaswadi
896014580cfffff,12.99581711106862,77.52090409098165,Prem Nagar,2.15,3.29,53.0,1,Kamakshipalya
89601451847ffff,12.895604084385631,77.45554472582181,Chalaghatta,2.15,3.29,53.0,1,Kengeri
8961892ee5bffff,13.009259014972814,77.66135927759184,Bacchanna Layout,2.15,3.29,53.0,1,Banaswadi
89601451aa7ffff,12.903094571520901,77.45146220081823,Sector N,2.15,3.29,53.0,1,Kengeri
8960145a473ffff,12.931581425484065,77.55832614424044,ITI Layout,2.15,3.29,53.0,1,Banashankari
89618920a77ffff,12.967333920730148,77.72028724153313,Vijetha Lapis Lazati,2.15,3.29,53.0,1,HAL Old Airport
89618924dcbffff,12.869521130081727,77.5765357956236,Narayana Reddy Layout,2.15,3.29,53.0,1,Thalagattapura
8960145a263ffff,12.971170144594524,77.54394944056095,Hoshalli Extension,2.15,3.29,53.0,1,Vijayanagara
8961892e2c7ffff,13.0144635263994,77.70181413619608,Monarch Aqua,2.15,3.29,53.0,1,K.R. Pura
896016965bbffff,13.069402506537056,77.56965550060838,Dhanalakshmi Layout,2.15,3.29,53.0,1,Kodigehalli
8961892016fffff,12.942601982508418,77.75180452641631,Surahunape,2.15,3.29,53.0,1,Whitefield
896189241a7ffff,12.872625592872183,77.6024559696978,Muthrayaswamy Layout,2.15,3.29,53.0,1,Hulimavu
89618924057ffff,12.892810945790503,77.6346924893259,,2.15,3.29,53.0,1,Hulimavu
8961892c30bffff,13.06383129435663,77.64723001795836,M Nanjappa Layout,2.15,3.29,53.0,1,Hennuru
89618920b5bffff,12.964160542918574,77.71119330520246,Block A,2.15,3.29,53.0,1,HAL Old Airport
8961892e17bffff,12.994260616696419,77.66953624051409,Royal Heritage,2.15,3.29,53.0,1,Mahadevapura
8960145ae2fffff,12.951025708837566,77.49491237487857,Muneshwara Layout,2.15,3.29,53.0,1,Jnanabharathi
8961892289bffff,12.881596303976531,77.75617112145088,Dommasandra Anekal Taluka,2.15,3.29,53.0,1,No Police Station
89601692b07ffff,13.164318494237385,77.64532427287881,Classmate Castle,2.15,3.29,53.0,1,Chikkajala
89618924a0bffff,12.914412570556657,77.5772879949045,Arya Nagar,2.15,3.29,53.0,1,J.P. Nagar
896014594bbffff,13.024548342186428,77.5604806639181,8th Cross Road,2.15,3.29,53.0,1,Yeshwanthpura
896014581a7ffff,12.977758742447635,77.4863364876813,Kuvempu Layout,2.15,3.29,53.0,1,Kamakshipalya
8960145943bffff,13.032040440486702,77.55639413843417,Brindavan Nagar,2.15,3.29,53.0,1,Yeshwanthpura
8960145b0abffff,12.989252910363613,77.57011877809488,Shri Rajiv Gandhi Circle,2.15,3.29,53.0,1,Malleshwaram
8961892634bffff,12.861745721637377,77.64801007815089,Elite Greenwoods,2.15,3.29,53.0,1,Electronic City
896014582c7ffff,13.015036732238052,77.52483113075365,Vidhana Soudha Layout Circle,1.87,2.86,53.0,1,Rajajinagar
8961892ec67ffff,12.984734167370606,77.64227242695571,New Binnamangla,1.87,2.86,53.0,1,Jeevanbheemanagar
8960145ac37ffff,12.923258224098632,77.49205053465542,BDA Indraprastha,1.87,2.86,53.0,1,Kengeri
89601458407ffff,12.977630608152463,77.52842007162023,Sapthagiri,1.87,2.86,53.0,1,Vijayanagara
896016913d3ffff,13.267833203115755,77.72004525252959,Devanahalli taluku,1.87,2.86,53.0,1,Devanahalli Airport
8961892ce57ffff,13.057473193829038,77.62905392895493,Ajanadhari Layout,1.87,2.86,53.0,1,Hennuru
8961892d80fffff,13.100220905374192,77.63218753553592,Brigade Northridge,1.87,2.86,53.0,1,Hennuru
89601690197ffff,13.184546794102044,77.67760965771147,Jagajothi Nagar,1.87,2.86,53.0,1,Chikkajala
8960169008fffff,13.197326144016426,77.69712012384976,Bavapura,1.87,2.86,53.0,1,Devanahalli Airport
8961892daa3ffff,13.113040262485347,77.63481429088465,Kattigenahalli,1.87,2.86,53.0,1,Yelahanka
8960145b213ffff,13.013799823397836,77.58075964854463,Achaiah Chetty Layout,1.87,2.86,53.0,1,Sadashivanagar
8960145b27bffff,13.024497556798378,77.57732833250299,Purva Atria Platina,1.87,2.86,53.0,1,Sadashivanagar
8960169119bffff,13.241124205181498,77.7117433500376,Shubodaya Layout,1.87,2.86,53.0,1,Devanahalli Airport
8961892ea9bffff,13.009316693337524,77.64449655461644,Errappa Reddy Layout,1.87,2.86,53.0,1,Banaswadi
89601459213ffff,13.066244888282249,77.5521516637903,Patel Pille Gowda Layout,1.87,2.86,53.0,1,Yelahanka
8961892537bffff,12.964414622246732,77.64373376129886,Baba Saheb Colony,1.87,2.86,53.0,1,Jeevanbheemanagar
