h3,slope,base,pct_per_month,area,lat,lon,CIS,police_station,n_parking,trend
896189242cbffff,-1.7857142857142851,3.3333333333333335,-53.6,Nadaprabhu Kempegowda Circle,12.914156741496882,77.64468640842088,16.32,HSR Layout,17,Improving
8960145a12fffff,-3.2000000000000006,6.0,-53.3,Navami Landmark,12.936014902496513,77.51149615932333,21.82,Jnanabharathi,24,Improving
8961892e413ffff,-15.999999999999996,30.0,-53.3,RMZ Centennial,12.975927574414397,77.71079322141347,34.26,Mahadevapura,120,Improving
89618925a2bffff,-8.199999999999998,15.5,-52.9,Purva Premiere,12.966710599906333,77.59922616685665,32.49,Ashok Nagar,90,Improving
89618924adbffff,-4.1,7.75,-52.9,RK Colony,12.912234876445059,77.58808054455034,24.09,J.P. Nagar,40,Improving
8960169601bffff,-6.600000000000001,12.5,-52.8,Yelahanka New Town,13.099298510026859,77.5785829578226,30.92,Yelahanka,85,Improving
896014595abffff,-3.3,6.25,-52.8,Parimala Nagar,13.019275224062188,77.536930732908,25.43,Rajajinagar,48,Improving
8960145b6a3ffff,-108.99999999999999,206.5,-52.8,Kumar Park,12.993461365885471,77.59064881109155,61.79,High ground,969,Improving
8961892e213ffff,-5.8000000000000025,11.0,-52.7,KR Puram Extension,13.013404910356554,77.69878292602378,26.43,K.R. Pura,45,Improving
8960145862bffff,-3.4000000000000004,6.5,-52.3,Freedom Fighters Colony,13.004342509608952,77.52826213502658,27.65,Rajajinagar,42,Improving
8961892cc43ffff,-8.599999999999998,16.5,-52.1,HBR Layout,13.038244224722582,77.62511523148396,28.18,K.G. Halli,69,Improving
89618925c27ffff,-4.300000000000001,8.25,-52.1,Brindavan Nagar,12.924990354141297,77.60755051336426,30.95,Mico Layout,49,Improving
89601459403ffff,-3.285714285714284,6.333333333333333,-51.9,Shriniket Apartment,13.03095601215545,77.56179113325211,15.71,Yeshwanthpura,21,Improving
89618920957ffff,-16.59999999999999,32.0,-51.9,Subbanna Apartment,12.937453384280582,77.70290116507779,41.93,HAL Old Airport,141,Improving
8961892421bffff,-81.90000000000003,158.25,-51.8,The Metropolitan Cooperative Housing Society,12.912041936787116,77.63863034904476,62.78,HSR Layout,784,Improving
8961892588bffff,-18.600000000000005,36.5,-51.0,Chikka Lakshmaiah Layout,12.936751196653573,77.60714699213088,44.33,Mico Layout,191,Improving
8960145b433ffff,-16.900000000000006,33.25,-50.8,Maharani College Junction,12.976381048128616,77.58434404243778,45.0,Upparpet,180,Improving
896189259bbffff,-55.599999999999994,111.0,-50.1,Shri Vinayaka Circle,12.927229543319747,77.57990926552993,55.26,Jayanagara,493,Improving
89618927347ffff,-1.4999999999999996,3.0,-50.0,CNB Circle,12.909759313335439,77.67471833116139,10.05,Bellandur,9,Improving
8960145a32fffff,-3.000000000000002,6.0,-50.0,Nagarabhavi Main Road,12.95843732133193,77.5160757093907,17.94,Byatarayanapura,21,Improving
8960145aa53ffff,-1.4999999999999996,3.0,-50.0,Sri Maregowda Circle,12.969184164647874,77.4958128958321,10.79,Jnanabharathi,10,Improving
