h3,lat,lon,area,police_station,growth_x,delta_per_day,base_rate,rec_rate,rec_n,CIS,top_violation
89618925423ffff,12.925821576145031,77.6695725227734,Green Glen Layout,Bellandur,6.97,0.393,0.045871559633027525,0.43902439024390244,18.0,20.34,WRONG PARKING
8961892cc9bffff,13.02433861204959,77.62789046012053,Brindavan Nagar,K.G. Halli,6.97,0.393,0.045871559633027525,0.43902439024390244,18.0,18.21,NO PARKING
8961892086bffff,12.951302116841699,77.71699781035542,Samhita Rainbow MTB Apartment,Whitefield,6.94,6.009,0.9908256880733946,7.0,287.0,56.57,PARKING IN A MAIN ROAD
896189258cfffff,12.943160543533148,77.60845874666745,Adugodi,Adugodi,6.9,0.497,0.06422018348623854,0.5609756097560976,23.0,23.02,NO PARKING
8961892e893ffff,12.983675668526326,77.63924373238406,New Binnamangla,Jeevanbheemanagar,6.8,0.808,0.11926605504587157,0.926829268292683,38.0,25.75,WRONG PARKING
89618925d1bffff,12.919670208743652,77.60084130008632,Gurappanapalya Junction,Mico Layout,6.62,0.68,0.10091743119266056,0.7804878048780488,32.0,23.43,NO PARKING
8960145b3d7ffff,13.005299430756127,77.56497223649048,Chitrapur Circle,Malleshwaram,6.51,0.616,0.09174311926605505,0.7073170731707317,29.0,21.13,WRONG PARKING
8960145b597ffff,12.960388498109769,77.57264375014819,TP Kailasam Circle,V.V.Puram (C.Pet),6.49,0.966,0.1559633027522936,1.1219512195121952,46.0,29.76,NO PARKING
8960145a6c3ffff,12.948630469633484,77.57304846211579,Vanivilas Circle,V.V.Puram (C.Pet),6.38,0.798,0.12844036697247707,0.926829268292683,38.0,24.7,NO PARKING
8960145a1cbffff,12.937017256991048,77.53135376474405,Veerabhadra Nagara Circle,Banashankari,6.38,0.305,0.03669724770642202,0.34146341463414637,14.0,16.05,WRONG PARKING
8960145b28bffff,13.011654912735974,77.58313084905326,Achaiah Chetty Layout,Sadashivanagar,6.32,0.838,0.13761467889908258,0.975609756097561,40.0,28.08,WRONG PARKING
89618925863ffff,12.948541857617831,77.59831850263481,Narayanpura,Wilson Garden,6.15,2.182,0.4036697247706422,2.5853658536585367,106.0,41.93,WRONG PARKING
89618925ea3ffff,12.940983026740929,77.61925586535979,Koramangala,Adugodi,6.13,0.996,0.1743119266055046,1.170731707317073,48.0,27.71,WRONG PARKING
896189219abffff,12.98121744219882,77.72595090269382,SJR I Park,Mahadevapura,6.07,0.241,0.027522935779816515,0.2682926829268293,11.0,12.92,WRONG PARKING
8960145b3c7ffff,13.007444063690391,77.56260144298766,Gitanjali Circle,Malleshwaram,5.86,0.32,0.045871559633027525,0.36585365853658536,15.0,17.32,WRONG PARKING
8960145a66fffff,12.958299791419194,77.55817077178229,Kaniyar Colony,Chamarajpet,5.74,0.399,0.06422018348623854,0.4634146341463415,19.0,22.36,PARKING IN A MAIN ROAD
8960145a037ffff,12.938075641485586,77.53437795816625,Veerabhadra Nagara Circle,Banashankari,5.72,0.701,0.12844036697247707,0.8292682926829268,34.0,25.22,WRONG PARKING
8960145a14fffff,12.943452183574074,77.52424504368166,Pantharapalya,Byatarayanapura,5.51,0.256,0.03669724770642202,0.2926829268292683,12.0,15.19,WRONG PARKING
896014582d3ffff,13.013952603179225,77.53022601889961,Nandini Layout,Rajajinagar,5.51,0.835,0.1651376146788991,1.0,41.0,29.48,WRONG PARKING
89618925c97ffff,12.915312268177555,77.62243330832052,Silk Board Junction,Mico Layout,5.49,0.296,0.045871559633027525,0.34146341463414637,14.0,17.58,WRONG PARKING
8961892edd7ffff,12.96765021998088,77.63596131934553,Sri Paramahamsa Yogananda Circle,Jeevanbheemanagar,5.49,0.296,0.045871559633027525,0.34146341463414637,14.0,14.99,WRONG PARKING
89618925d97ffff,12.907909448382473,77.60124501094569,Sarakki Industrial Layout,Mico Layout,5.44,8.08,1.798165137614679,9.878048780487806,405.0,58.07,NO PARKING
8961892ec0fffff,12.980440692593191,77.64701683006362,Michaelpalya,Jeevanbheemanagar,5.44,0.414,0.07339449541284404,0.4878048780487805,20.0,19.36,NO PARKING
8960145b1abffff,12.981840079101731,77.54893911965907,GEF Block,Magadi Road,5.43,5.408,1.201834862385321,6.609756097560975,271.0,53.3,WRONG PARKING
8961892c9b3ffff,13.028761170088776,77.58101069107194,D Type Quarters,Kodigehalli,5.39,0.652,0.12844036697247707,0.7804878048780488,32.0,27.1,WRONG PARKING
8960145a0d3ffff,12.939076622048708,77.55424089849106,Kattera Guppe,Basavanagudi,5.12,0.271,0.045871559633027525,0.3170731707317073,13.0,16.52,NO PARKING
