lat,lon,kind,name
13.1110497,77.5797494,Bus station,Bus Station Puttanahalli
12.9486948,77.7080762,Bus station,Munekolala bus stand
12.8908667,77.597713,Mall,South India Shopping Mall
12.996496,77.6684788,Metro,Benniganahalli
12.9578822,77.7160787,Mall,HyperCity
12.8359981,77.6571688,Bus station,Electronic City Wipro Main Gate
12.9036067,77.6960679,Market,
12.9957428,77.7579489,Metro,Whitefield (Kadugodi)
12.9873426,77.7538033,Metro,Hopefarm Channasandra
12.9876393,77.7377718,Metro,Pattandur Agrahara
12.9811949,77.7275361,Metro,Sri Sathya Sai Hospital
12.9766408,77.7248845,Metro,Nallurahalli
12.977594,77.7155586,Metro,Kundalahalli
12.9808558,77.7087854,Metro,Seetharampalya
12.9888029,77.711326,Metro,Hoodi
12.9934505,77.7036768,Metro,Garudacharpalya
12.9965445,77.6927176,Metro,Singayyanapalya
12.9999024,77.6776703,Metro,Krishnarajapura
12.9965158,77.6684619,Metro,Benniganahalli
12.8193944,77.6883453,Metro,Delta Electronics Bommasandra
12.8391572,77.6773716,Metro,Huskur Road
12.8464134,77.6711655,Metro,Infosys Foundation Konappana Agrahara
12.8565053,77.6635228,Metro,Electronic City
12.8638665,77.6578624,Metro,Beratena Agrahara
12.8707491,77.652447,Metro,Hosa Road
12.8808178,77.6448456,Metro,Singasandra
12.8899259,77.6392156,Metro,Kudlu Gate
12.9016952,77.6319861,Metro,Hongasandra
12.9106157,77.6264782,Metro,Bommanahalli
12.9165816,77.620567,Metro,Central Silk Board
12.9165878,77.6081182,Metro,BTM Layout
12.9170807,77.5883015,Metro,Ragigudda
12.9337996,77.6159147,Mall,Tibet Mall
13.0432607,77.5125535,Metro,Dasarahalli
13.0394104,77.5197351,Metro,Jalahalli
12.9965253,77.5631963,Metro,Srirampura
12.8613835,77.7855737,Bus station,Sarjapura Bus Stand
12.9567706,77.7007709,Mall,KLM Fashion Mall
12.9565198,77.6976884,Mall,Brand Factory
12.9907594,77.6523612,Metro,Baiyappanahalli
12.9859306,77.644897,Metro,Swami Vivekananda Road
12.9783325,77.6386612,Metro,Indiranagar
12.9764992,77.626686,Metro,Halasuru
12.9730218,77.6170205,Metro,Trinity
12.9755264,77.6067902,Metro,Mahatma Gandhi Road
12.9809575,77.5975756,Metro,Cubbon Park
12.9787419,77.5916385,Metro,"Dr. B. R. Ambedkar Station, Vidhana Soudha"
12.9745197,77.58422,Metro,"Sir M. Visvesvaraya Stn., Central College"
12.9757079,77.5728757,Metro,"Nadaprabhu Kempegowda Station, Majestic"
12.9758768,77.5653767,Metro,Krantivira Sangolli Rayanna Railway Station
12.975632,77.5553523,Metro,Magadi Road
12.9742933,77.5456215,Metro,"Sri Balagangadharanatha Swamiji Station, Hosahalli"
12.9709559,77.5374044,Metro,Vijayanagar
12.9618931,77.5335788,Metro,Attiguppe
12.9520578,77.5370122,Metro,Deepanjali Nagar
12.9467183,77.5301588,Metro,Mysore Road
12.9904629,77.5707293,Metro,Mantri Square Sampige Road
12.9985297,77.5568986,Metro,Mahakavi Kuvempu Road
13.0005247,77.5496568,Metro,Rajajinagar
13.0080475,77.5488066,Metro,Mahalakshmi
13.0146544,77.5539839,Metro,Sandal Soap Factory
13.0330189,77.533201,Metro,Peenya
13.0363176,77.5254924,Metro,Peenya Industry
12.8960498,77.5701194,Metro,Yelachenahalli
12.9074747,77.5731279,Metro,Jaya Prakash Nagar
12.9152208,77.573598,Metro,Banashankari
12.9215807,77.5802015,Metro,Rashtreeya Vidyalaya Road
12.9295069,77.5801439,Metro,Jayanagar
12.9382573,77.5800556,Metro,South End Circle
12.9465265,77.580016,Metro,Lalbagh
12.9505266,77.5736898,Metro,National College
12.9608788,77.5746578,Metro,Krishna Rajendra Market
12.9668974,77.5745566,Metro,Chickpete
12.9773998,77.5762252,Mall,Grand Majestic Mall
13.020812,77.5540619,Market,Yeshwantpur Market
12.9216966,77.620318,Mall,Davanam Sarovar Portico Suites
12.9079284,77.4765748,Metro,Kengeri
12.9167281,77.5999985,Metro,Jayadeva Interchange (u/c)
12.9078971,77.4765871,Metro,Kengeri
12.9354357,77.5124063,Metro,Jnanabharathi
12.9416715,77.5251166,Metro,Pantharapalya - Nayandahalli
12.914689,77.4878557,Metro,Kengeri Bus Terminal
12.9079105,77.4765784,Metro,Kengeri
12.9365996,77.5196788,Metro,Rajarajeshwari Nagar
12.9242505,77.4983509,Metro,Pattanagere
12.9167328,77.5999289,Metro,Jayadeva Interchange (u/c)
12.8973539,77.4612877,Metro,Challaghatta
12.8617298,77.5299545,Metro,Silk Institute
