n_zones,zone_frac,impact_cov,violation_cov
332,0.13101815311760062,0.8977539590883015,0.8336376886863576
333,0.1314127861089187,0.8981264485505609,0.8342709712007238
334,0.13180741910023677,0.8984967682165823,0.8347434200606477
335,0.13220205209155486,0.8988655623944571,0.8352493759319137
336,0.13259668508287292,0.8992316550197252,0.8356447586657508
337,0.132991318074191,0.899596697092753,0.836184221548359
338,0.13338595106550907,0.8999547574718544,0.836690177419625
339,0.13378058405682716,0.9003122768800104,0.8371860811874885
340,0.13417521704814522,0.9006584925039405,0.8377557003803046
341,0.1345698500394633,0.9010037239724877,0.8382113957345575
342,0.13496448303078137,0.9013465862663538,0.8386101291695287
343,0.13535911602209943,0.9016890940102478,0.8390624738226474
344,0.13575374901341752,0.9020299872583454,0.8394478044530818
345,0.13614838200473559,0.9023700425327239,0.8398029787733083
346,0.13654301499605367,0.9027074949507226,0.8402452713230243
347,0.13693764798737174,0.9030443514348386,0.8408282933203773
348,0.13733228097868982,0.9033756769768253,0.8414146660188645
349,0.13772691397000789,0.9037065493652301,0.84188041347652
350,0.13812154696132597,0.9040372799879058,0.8423796679455176
351,0.13851617995264404,0.9043668881213145,0.842905728023589
352,0.13891081294396213,0.9046928601792954,0.8433178642630971
353,0.1393054459352802,0.9050180434044884,0.8438271708354973
354,0.13970007892659828,0.9053428881327252,0.8442091507647975
355,0.14009471191791634,0.9056676095820618,0.8446916517281241
356,0.1404893449092344,0.9059920133817428,0.8452009583005243
357,0.1408839779005525,0.906312705943623,0.8456700564593141
358,0.14127861089187055,0.9066314835715585,0.8460252307795406
359,0.14167324388318864,0.9069501878198553,0.8464306656167803
360,0.1420678768745067,0.9072682134783362,0.8469332707869122
361,0.1424625098658248,0.9075853577202712,0.8475095913819967
362,0.14285714285714285,0.90790172233845,0.8479853909430548
363,0.14325177584846094,0.9082172261723722,0.8484109299870998
364,0.143646408839779,0.9085312313633603,0.84885657323795
365,0.1440410418310971,0.9088429569598175,0.8493960361205583
366,0.14443567482241515,0.9091511997054724,0.8498081723600663
367,0.14483030781373324,0.9094592930986248,0.8503275310358692
368,0.1452249408050513,0.9097660954091059,0.8508167334014642
369,0.1456195737963694,0.9100695722496938,0.8512355710432408
370,0.14601420678768745,0.9103723111801125,0.8515404848464542
371,0.1464088397790055,0.9106740695121034,0.851949270384828
372,0.1468034727703236,0.9109754811510165,0.8524954346697047
373,0.14719810576164166,0.911275921404399,0.8528975188058101
374,0.14759273875295975,0.9115760467658969,0.8534034746770762
375,0.1479873717442778,0.9118757498358904,0.8539630417664896
376,0.1483820047355959,0.9121743124958581,0.8545025046490978
377,0.14877663772691396,0.9124727877069392,0.8548275226591164
378,0.14917127071823205,0.9127706068093613,0.8552530617031614
379,0.1495659037095501,0.9130660819153976,0.8556484444369984
380,0.1499605367008682,0.9133550113435521,0.8561041397912513
381,0.15035516969218626,0.9136425250215193,0.8565698872489068
382,0.15074980268350435,0.9139289624913646,0.8570423361088307
383,0.1511444356748224,0.9142150734217631,0.8576052538993785
384,0.1515390686661405,0.914500549348562,0.8580106887366181
385,0.15193370165745856,0.9147836077492774,0.8584261756772604
386,0.15232833464877663,0.9150651500552236,0.8589421836519292
387,0.15272296764009471,0.9153446724111741,0.8593409170869004
388,0.15311760063141278,0.9156236658226881,0.8597597547286769
389,0.15351223362273086,0.9159020755440602,0.8601785923704535
390,0.15390686661404893,0.9161803579392331,0.8605773258054248
391,0.15430149960536702,0.9164562238471746,0.8610162676540066
392,0.15469613259668508,0.9167313464430232,0.86144850810032
393,0.15509076558800317,0.917005909632855,0.8618304880296201
394,0.15548539857932123,0.9172793019385188,0.8621823116487125
395,0.15588003157063932,0.9175524105759483,0.8625341352678048
396,0.15627466456195738,0.9178253703268486,0.8629060630937023
397,0.15666929755327547,0.9180969764586779,0.8633818626547605
398,0.15706393054459353,0.9183676937434723,0.8637437383772555
399,0.1574585635359116,0.9186380883878315,0.8641056140997504
400,0.15785319652722968,0.9189070178313168,0.8645278024426611
401,0.15824782951854774,0.9191757036402519,0.8649600428889745
402,0.15864246250986583,0.9194430257674298,0.8653956340364222
403,0.1590370955011839,0.9197096780007064,0.8657072492419039
404,0.15943172849250198,0.919976278902787,0.8661227361825462
405,0.15982636148382004,0.9202406563976929,0.8665315217209201
406,0.16022099447513813,0.9205034950122857,0.8669637621672335
407,0.1606156274664562,0.9207661231563307,0.8673289885908626
408,0.16101026045777428,0.9210273436558242,0.8676640587042839
409,0.16140489344909234,0.9212862461832597,0.8681164033574026
