h3,lat,lon,day,hour,window,risk,risk_low,risk_high,cell_rate
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,6,06:00-07:00,5.964814841266531,3.9332243530816804,9.022828885090604,527.0869565217391
8960145b553ffff,12.976409087424585,77.5759204607417,Sun,5,05:00-06:00,5.960715491620207,3.8665752045379547,10.496550712756864,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Thu,8,08:00-09:00,5.90394991300229,2.283768813963199,10.092342450333106,293.4347826086956
8960145b5cbffff,12.974263654955623,77.57829127810561,Tue,9,09:00-10:00,5.889068533748171,3.480218328807421,8.275884287907179,260.5217391304348
8961892e9abffff,12.981645967305287,77.60790407487231,Thu,11,11:00-12:00,5.874872132579752,3.298903928324661,8.283612007304184,289.8695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Tue,8,08:00-09:00,5.855724274294326,3.327717825299356,7.782265616649617,289.8695652173913
8961892e917ffff,12.982704611494386,77.61093157697483,Sun,8,08:00-09:00,5.853930634023873,2.5897868082756546,7.941945918008452,211.91304347826087
8960145a26bffff,12.97437379053479,77.54460425854465,Tue,4,04:00-05:00,5.845547530100958,2.138807217119913,7.5678821211161615,158.82608695652175
8961892e9abffff,12.981645967305287,77.60790407487231,Fri,8,08:00-09:00,5.808469542727048,3.7514478529511237,8.640638514162077,289.8695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Sat,7,07:00-08:00,5.773516195114455,2.222842015403191,6.685644814099718,527.0869565217391
8960145b427ffff,12.97746783062643,77.57894671319185,Sat,9,09:00-10:00,5.7589281793606215,4.308614115514954,9.566064365314475,320.39130434782606
896016964b7ffff,13.07255955260552,77.58716314506412,Mon,12,12:00-13:00,5.750636818108145,2.1615314886495582,7.379711316042227,121.91304347826087
8961892e2bbffff,13.009140358493172,77.69509425538708,Mon,0,00:00-01:00,5.731184603930514,2.0912279492641113,6.801731333635985,144.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Wed,5,05:00-06:00,5.70504399953923,3.626306070147632,11.422812029694411,293.4347826086956
8960145b59bffff,12.96465116440439,77.57632508363632,Sat,0,00:00-01:00,5.703619724170771,3.6433229860923353,8.765014460163433,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,5,05:00-06:00,5.698526673468786,3.9799613471203443,9.000646006930374,527.0869565217391
8960145b59bffff,12.96465116440439,77.57632508363632,Sun,10,10:00-11:00,5.691789260300842,2.3510064653302316,7.573039328778517,373.2608695652174
8960145b553ffff,12.976409087424585,77.5759204607417,Thu,6,06:00-07:00,5.65424231171871,3.79740176227891,9.40577520800552,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Fri,3,03:00-04:00,5.649260478126442,1.9577539091318323,8.965742632853836,293.4347826086956
8960145b553ffff,12.976409087424585,77.5759204607417,Tue,5,05:00-06:00,5.642604372442725,3.96522700443026,9.912357437183491,527.0869565217391
8960145b59bffff,12.96465116440439,77.57632508363632,Thu,9,09:00-10:00,5.5982329119491565,3.5442287413650657,8.96429401319743,373.2608695652174
8961892e9bbffff,12.979499946671595,77.61027556237418,Sun,12,12:00-13:00,5.584307659294343,1.5569455338789324,6.702509132512597,185.08695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Sat,9,09:00-10:00,5.584089168042956,3.6974677700809186,8.890155923097389,289.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Sat,3,03:00-04:00,5.579325259878721,1.9912393292531307,8.587835601116298,293.4347826086956
8960145b5cbffff,12.974263654955623,77.57829127810561,Sun,5,05:00-06:00,5.562013278508106,2.264445928424917,7.10513763673422,260.5217391304348
8960145b427ffff,12.97746783062643,77.57894671319185,Sun,8,08:00-09:00,5.554105439706025,2.7079902786066414,7.665555918992075,320.39130434782606
8961892e9abffff,12.981645967305287,77.60790407487231,Thu,10,10:00-11:00,5.553836937197879,3.7326420311724053,8.498287059928856,289.8695652173913
8960145b553ffff,12.976409087424585,77.5759204607417,Mon,7,07:00-08:00,5.543470720075314,2.250400124866855,7.133275145268584,527.0869565217391
8960145b59bffff,12.96465116440439,77.57632508363632,Wed,9,09:00-10:00,5.5332318459455125,3.6659183873039645,8.94251335727271,373.2608695652174
8960145b427ffff,12.97746783062643,77.57894671319185,Thu,9,09:00-10:00,5.53311510141782,3.852444786799116,9.008821070362849,320.39130434782606
8960145b553ffff,12.976409087424585,77.5759204607417,Wed,11,11:00-12:00,5.5203672467926745,3.569431333731906,8.808620209987403,527.0869565217391
89618920923ffff,12.933223647523132,77.69077993064658,Fri,9,09:00-10:00,5.510131291667223,3.683621059399523,10.855100422982147,293.4347826086956
8960145b427ffff,12.97746783062643,77.57894671319185,Wed,9,09:00-10:00,5.46479164483943,3.839400435042802,7.877523295261877,320.39130434782606
8960145b5cbffff,12.974263654955623,77.57829127810561,Tue,10,10:00-11:00,5.4529158228079835,3.774529230962724,8.173008557835601,260.5217391304348
8961892e9abffff,12.981645967305287,77.60790407487231,Thu,8,08:00-09:00,5.443729155943177,3.674781822568,8.554349224319964,289.8695652173913
8961892e2bbffff,13.009140358493172,77.69509425538708,Sun,0,00:00-01:00,5.434552413728952,2.145809371478964,6.396226043387034,144.8695652173913
896016964b7ffff,13.07255955260552,77.58716314506412,Mon,11,11:00-12:00,5.393746264779871,2.1353825492852065,7.359359345869665,121.91304347826087
8960145b4cbffff,12.98167451890872,77.59947811999245,Thu,4,04:00-05:00,5.36020434304562,1.2980109216109992,5.85123883901651,87.34782608695652
89618920923ffff,12.933223647523132,77.69077993064658,Sat,6,06:00-07:00,5.295337722969804,2.1249046152802182,8.495122462268009,293.4347826086956
8961892e9abffff,12.981645967305287,77.60790407487231,Wed,10,10:00-11:00,5.279398866569928,3.20539433541144,7.295586839066923,289.8695652173913
8961892e9abffff,12.981645967305287,77.60790407487231,Tue,10,10:00-11:00,5.259127059617539,3.1841889766113685,7.7478261263469275,289.8695652173913
89618920923ffff,12.933223647523132,77.69077993064658,Wed,10,10:00-11:00,5.250021157933508,1.5881043820279013,7.0815055628335095,293.4347826086956
